NTA2020,n_tracts,n_incidents,gini_tracts,crime_type
QN1307,8,58,0.2672413793103448,Robbery (outdoor)
QN1401,11,184,0.3349802371541502,Robbery (outdoor)
QN1402,9,87,0.3065134099616858,Robbery (outdoor)
QN1403,7,21,0.6394557823129252,Robbery (outdoor)
SI0101,6,101,0.27887788778877887,Robbery (outdoor)
SI0102,5,82,0.3902439024390244,Robbery (outdoor)
SI0103,7,42,0.2653061224489796,Robbery (outdoor)
SI0104,12,57,0.4546783625730994,Robbery (outdoor)
SI0105,8,23,0.375,Robbery (outdoor)
SI0106,6,106,0.330188679245283,Robbery (outdoor)
SI0107,8,66,0.25,Robbery (outdoor)
SI0201,9,47,0.3215130023640662,Robbery (outdoor)
SI0202,6,28,0.27380952380952384,Robbery (outdoor)
SI0203,9,16,0.25,Robbery (outdoor)
SI0204,9,32,0.5138888888888888,Robbery (outdoor)
SI0301,5,5,0.56,Robbery (outdoor)
SI0302,11,23,0.2608695652173913,Robbery (outdoor)
SI0303,7,9,0.3492063492063492,Robbery (outdoor)
SI0304,7,17,0.4369747899159664,Robbery (outdoor)
SI0305,4,17,0.4264705882352941,Robbery (outdoor)
BK0101,15,268,0.41592039800995023,Felony assault
BK0102,13,497,0.265284011762885,Felony assault
BK0103,10,251,0.5812749003984063,Felony assault
BK0104,16,683,0.3952232796486091,Felony assault
BK0201,6,97,0.45532646048109965,Felony assault
BK0202,11,1195,0.3812856599467478,Felony assault
BK0203,11,484,0.37302779864763336,Felony assault
BK0204,7,175,0.23183673469387756,Felony assault
BK0301,21,1321,0.2826141811758769,Felony assault
BK0302,23,1622,0.28601297378437784,Felony assault
BK0401,13,833,0.20260411857050512,Felony assault
BK0402,16,802,0.258572319201995,Felony assault
BK0501,14,677,0.2714707744249842,Felony assault
BK0502,13,1214,0.26207071347104294,Felony assault
BK0503,14,1257,0.2082623025343789,Felony assault
BK0504,4,274,0.42883211678832117,Felony assault
BK0505,12,923,0.27979414951245934,Felony assault
BK0601,21,645,0.575562938353636,Felony assault
BK0602,16,325,0.4775,Felony assault
BK0701,8,65,0.4673076923076923,Felony assault
BK0702,18,602,0.3863049095607235,Felony assault
BK0703,14,545,0.2038007863695937,Felony assault
BK0801,6,172,0.313953488372093,Felony assault
BK0802,22,1581,0.29138634926111207,Felony assault
BK0901,13,592,0.3354989604989605,Felony assault
BK0902,14,662,0.3282261545101424,Felony assault
BK1001,28,334,0.41894781864841746,Felony assault
BK1002,17,177,0.385510136257893,Felony assault
BK1101,28,453,0.23833175654367708,Felony assault
BK1102,11,146,0.36612702366127026,Felony assault
BK1103,16,307,0.32105048859934854,Felony assault
BK1201,10,249,0.27670682730923696,Felony assault
BK1202,21,273,0.3561834990406419,Felony assault
BK1203,10,203,0.37980295566502464,Felony assault
BK1204,16,131,0.20181297709923665,Felony assault
BK1301,7,241,0.30468286899822167,Felony assault
BK1302,12,981,0.45047570506286105,Felony assault
BK1303,8,330,0.22803030303030303,Felony assault
BK1401,18,925,0.20546546546546546,Felony assault
BK1402,11,339,0.22633413783856263,Felony assault
BK1403,16,208,0.40805288461538464,Felony assault
BK1501,18,292,0.3234398782343988,Felony assault
BK1502,15,232,0.43448275862068964,Felony assault
BK1503,20,524,0.48835877862595417,Felony assault
BK1601,10,1003,0.3085742771684945,Felony assault
BK1602,14,1823,0.23285792649478881,Felony assault
BK1701,11,916,0.2296546248511314,Felony assault
BK1702,14,483,0.3015380065069506,Felony assault
BK1703,16,701,0.2807596291012839,Felony assault
BK1704,9,959,0.36287799791449427,Felony assault
BK1801,27,513,0.3562197675258104,Felony assault
BK1802,19,156,0.47638326585695007,Felony assault
BK1803,34,811,0.33506201494161164,Felony assault
BX0101,15,2091,0.3241830065359477,Felony assault
BX0102,8,1744,0.27938646788990823,Felony assault
BX0201,6,1226,0.5494834148994019,Felony assault
BX0202,9,1210,0.25252525252525254,Felony assault
BX0301,7,1217,0.14649606761356967,Felony assault
BX0302,6,800,0.3,Felony assault
BX0303,7,816,0.23844537815126052,Felony assault
BX0401,14,1783,0.31059209999198784,Felony assault
BX0402,5,929,0.16576964477933262,Felony assault
BX0403,12,1434,0.21664342166434217,Felony assault
BX0501,13,1156,0.3408304498269896,Felony assault
BX0502,10,1502,0.17869507323568576,Felony assault
BX0503,7,896,0.20758928571428573,Felony assault
BX0601,5,621,0.3046698872785829,Felony assault
BX0602,9,1125,0.2322962962962963,Felony assault
BX0603,7,927,0.22931114193250116,Felony assault
BX0701,9,1105,0.3046757164404223,Felony assault
BX0702,11,903,0.20577871740662437,Felony assault
BX0703,8,836,0.22697368421052633,Felony assault
BX0801,6,346,0.220616570327553,Felony assault
BX0802,5,313,0.34760383386581467,Felony assault
BX0803,14,156,0.38644688644688646,Felony assault
BX0901,15,1534,0.17592351151673186,Felony assault
BX0902,8,583,0.2626500857632933,Felony assault
BX0903,9,679,0.2997872688594338,Felony assault
BX0904,5,318,0.09685534591194969,Felony assault
BX1001,5,313,0.2134185303514377,Felony assault
BX1002,14,451,0.4119417168197656,Felony assault
