BoroCT2020,n_blocks,gini_blocks,n_incidents,crime_type
3001501,36,NA,0,Murder
3001502,26,NA,0,Murder
3001801,62,0.9838709677419355,2,Murder
3001802,33,NA,0,Murder
3001803,31,NA,0,Murder
3001804,5,NA,0,Murder
3002000,29,0.9655172413793104,2,Murder
3002100,149,NA,0,Murder
3002200,74,NA,0,Murder
3002300,29,0.9655172413793104,1,Murder
3002901,28,0.8928571428571429,3,Murder
3003000,15,0.9333333333333333,1,Murder
3003101,15,NA,0,Murder
3003102,5,NA,0,Murder
3003300,30,NA,0,Murder
3003400,46,NA,0,Murder
3003500,20,0.95,1,Murder
3003600,19,NA,0,Murder
3003700,42,NA,0,Murder
3003800,13,NA,0,Murder
3003900,24,NA,0,Murder
3004100,18,NA,0,Murder
3004300,30,NA,0,Murder
3004400,50,NA,0,Murder
3004500,34,NA,0,Murder
3004600,32,NA,0,Murder
3004700,49,NA,0,Murder
3004900,16,NA,0,Murder
3005000,26,NA,0,Murder
3005100,43,NA,0,Murder
3005201,15,NA,0,Murder
3005202,17,0.9411764705882353,1,Murder
3005301,77,0.987012987012987,1,Murder
3005302,75,0.9866666666666667,1,Murder
3005303,16,NA,0,Murder
3005400,24,NA,0,Murder
3005601,25,NA,0,Murder
3005602,10,NA,0,Murder
3005800,28,NA,0,Murder
3005900,72,NA,0,Murder
3006000,16,NA,0,Murder
3006200,13,NA,0,Murder
3006300,25,NA,0,Murder
3006400,19,0.9473684210526315,1,Murder
3006500,39,NA,0,Murder
3006600,18,0.8888888888888888,2,Murder
3006700,25,NA,0,Murder
3006800,22,NA,0,Murder
3006901,6,NA,0,Murder
3006902,10,NA,0,Murder
3007000,30,NA,0,Murder
3007100,22,0.9545454545454546,1,Murder
3007200,6,NA,0,Murder
3007400,17,0.9411764705882353,1,Murder
3007500,41,NA,0,Murder
3007600,16,NA,0,Murder
3007700,66,NA,0,Murder
3007800,13,NA,0,Murder
3008000,12,NA,0,Murder
3008200,12,0.9166666666666666,1,Murder
3008400,25,NA,0,Murder
3008500,25,0.96,1,Murder
3008600,7,NA,0,Murder
3008800,8,NA,0,Murder
3009001,6,NA,0,Murder
3009002,5,NA,0,Murder
3009201,7,NA,0,Murder
3009202,7,NA,0,Murder
3009401,9,NA,0,Murder
3009402,5,NA,0,Murder
3009600,17,0.9411764705882353,1,Murder
3009800,15,0.9333333333333333,1,Murder
3010000,13,0.8461538461538461,2,Murder
3010100,33,NA,0,Murder
3010200,17,0.9411764705882353,1,Murder
3010401,7,NA,0,Murder
3010402,9,NA,0,Murder
3010601,11,NA,0,Murder
3010602,6,NA,0,Murder
3010801,10,NA,0,Murder
3010802,7,NA,0,Murder
3011000,21,NA,0,Murder
3011200,30,0.9666666666666667,1,Murder
3011400,22,NA,0,Murder
3011600,14,NA,0,Murder
3011700,22,NA,0,Murder
3011800,24,NA,0,Murder
3011901,51,NA,0,Murder
3011902,24,NA,0,Murder
3012000,22,NA,0,Murder
3012100,15,0.9333333333333333,1,Murder
3012200,26,0.9615384615384616,1,Murder
3012600,51,NA,0,Murder
3012700,24,NA,0,Murder
3012801,15,NA,0,Murder
3012901,18,0.9074074074074074,3,Murder
3012902,20,NA,0,Murder
3013000,24,NA,0,Murder
3013100,14,NA,0,Murder
3013200,20,NA,0,Murder
3013300,17,0.9411764705882353,1,Murder
3013400,47,0.9787234042553191,1,Murder
3013500,15,0.9333333333333333,1,Murder
3013600,29,NA,0,Murder
3013700,18,NA,0,Murder
3013800,20,NA,0,Murder
3013900,19,NA,0,Murder
3014000,22,NA,0,Murder
3014101,10,NA,0,Murder
3014102,12,NA,0,Murder
3014200,43,NA,0,Murder
3014300,23,NA,0,Murder
3014500,21,NA,0,Murder
3014700,16,NA,0,Murder
3014800,14,NA,0,Murder
3014901,8,NA,0,Murder
3014902,25,NA,0,Murder
3015000,13,NA,0,Murder
3015100,14,NA,0,Murder
3015200,32,NA,0,Murder
3015300,16,NA,0,Murder
3015500,16,NA,0,Murder
3015700,22,NA,0,Murder
3015900,62,NA,0,Murder
3016000,43,NA,0,Murder
3016100,32,NA,0,Murder
3016200,36,NA,0,Murder
3016300,10,0.9,1,Murder
3016500,24,NA,0,Murder
3016600,29,NA,0,Murder
3016700,19,NA,0,Murder
3016800,20,NA,0,Murder
3016900,27,NA,0,Murder
